FID,SHAPE,NAME,ADRESSE,WEBLINK1,BEZIRK,AUSLASTUNG_TAG_0,AUSLASTUNG_AMPEL_KAT_TXT_0,AUSLASTUNG_AMPEL_KATEGORIE_0,AUSLASTUNG_TAG_1,AUSLASTUNG_AMPEL_KAT_TXT_1,AUSLASTUNG_AMPEL_KATEGORIE_1,AUSLASTUNG_TAG_2,AUSLASTUNG_AMPEL_KAT_TXT_2,AUSLASTUNG_AMPEL_KATEGORIE_2,AUSLASTUNG_TAG_3,AUSLASTUNG_AMPEL_KAT_TXT_3,AUSLASTUNG_AMPEL_KATEGORIE_3,TIMESTAMP_MODIFIED_FORMAT,SE_SDO_ROWID,SE_ANNO_CAD_DATA
SCHWIMMBADOGD.2691485,POINT (16.35804926534673 48.25084785155835),Kombibad Döbling,"19., Geweygasse 6",http://www.wien.gv.at/freizeit/baeder/uebersicht/kombibaeder/doebling.html,19,2020-10-01,Noch Platz,1,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691485,
SCHWIMMBADOGD.2691615,POINT (16.348841199156727 48.23125771081222),Familienbad Währinger Park,"18., Währinger Park, Eingang Semperstraße",https://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder/waehringer-park.html,18,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691615,
SCHWIMMBADOGD.2691616,POINT (16.375414747417764 48.228100489892455),Familienbad Augarten,"2., Augarten, Eingang Karl-Meißl-Straße",https://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder/augarten.html,2,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691616,
SCHWIMMBADOGD.2691617,POINT (16.382021141856153 48.21180199274544),Badeschiff Wien,"1., An der Donaukanallände, zwischen Schwedenbrücke und Urania",http://www.badeschiff.at/,1,,,-99,,,,,,,,,,,2691617,
SCHWIMMBADOGD.2691618,POINT (16.41157690280717 48.300110696648815),Familienbad Stammersdorf,"21., Stammersdorf, Luckenschwemmgasse Ecke Josef-Flandorfer-Straße",https://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder/stammersdorf.html,21,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691618,
SCHWIMMBADOGD.2691619,POINT (16.3847114904687 48.29266029573458),Familienbad Strebersdorf,"21., Strebersdorf, Roda-Roda-Gasse",https://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder/strebersdorf.html,21,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691619,
SCHWIMMBADOGD.2691620,POINT (16.458293811937562 48.21267948384133),Strandbad Stadlau,"22., Am Mühlwasser",http://www.strand-domizil.at/,22,,,-99,,,,,,,,,,,2691620,
SCHWIMMBADOGD.2691601,POINT (16.42221061627191 48.203712376002365),Stadionbad,"2., Einfahrt Meiereistraße",http://www.wienersportstaetten.at/home/stadionbad,2,,,-99,,,,,,,,,,,2691601,
SCHWIMMBADOGD.2691602,POINT (16.409846482765538 48.17319850233019),Familienbad Herderplatz,"11., Herderpark, Herderplatz",https://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder/herderpark.html,11,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691602,
SCHWIMMBADOGD.2691603,POINT (16.331705756702743 48.20140726541739),Stadthallenbad,"15., Hütteldorfer Straße 2H",http://www.wienersportstaetten.at/home/stadthallenbad,15,,,-99,,,,,,,,,,,2691603,
SCHWIMMBADOGD.2691554,POINT (16.315148630751874 48.179334835672364),Schönbrunner Bad,"13., Schönbrunner Schloßpark",http://www.schoenbrunnerbad.at/,13,,,-99,,,,,,,,,,,2691554,
SCHWIMMBADOGD.2691555,POINT (16.333372262814034 48.2090876212682),Familienbad Hofferplatz,"16., Hofferplatz 11",https://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder/hofferplatz.html,16,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691555,
SCHWIMMBADOGD.2691556,POINT (16.33469197737579 48.23981963914403),Familienbad-Hugo-Wolf-Park,"19., Hugo-Wolf-Park, Eingang Dänenstraße",https://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder/hugo-wolf-park.html,19,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691556,
SCHWIMMBADOGD.2691557,POINT (16.389868434937853 48.17579082647462),Familienbad Gudrunstraße,"10., Gudrunstraße, Ecke Absberggasse",https://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder/gudrunstrasse.html,10,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691557,
SCHWIMMBADOGD.2691119,POINT (16.388129082945483 48.18764159779147),Familienbad Schweizergarten,"3., Schweizergarten, Eingang Kleistgasse",https://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder/schweizergarten.html,3,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691119,
SCHWIMMBADOGD.2691120,POINT (16.40228104836155 48.25433338521856),Hallenbad Floridsdorf,"21., Franklinstraße 22",http://www.wien.gv.at/freizeit/baeder/uebersicht/hallenbaeder/floridsdorf.html,21,2020-10-01,Noch Platz,1,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691120,
SCHWIMMBADOGD.2691121,POINT (16.285885672525133 48.14753115860394),Höpflerbad,"23., Endresstraße 24-26",http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/hoepflerbad.html,23,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691121,
SCHWIMMBADOGD.2691122,POINT (16.291674938194554 48.212154469398264),Ottakringerbad,"16., Johann-Staud-Straße 11",http://www.wien.gv.at/freizeit/baeder/uebersicht/kombibaeder/ottakring.html,16,2020-10-01,Noch Platz,1,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691122,
SCHWIMMBADOGD.2691123,POINT (16.331023786421905 48.26689709726593),Krapfenwaldl Bad,"19., Krapfenwaldgasse 65-73",http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/krapfenwaldlbad.html,19,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691123,
SCHWIMMBADOGD.2691124,POINT (16.328055090605307 48.18184226010143),Theresienbad,"12., Hufelandgasse 3",http://www.wien.gv.at/freizeit/baeder/uebersicht/kombibaeder/theresienbad.html,12,2020-10-01,Noch Platz,1,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691124,
SCHWIMMBADOGD.2691125,POINT (16.28613933219836 48.23291209399506),Neuwaldegger Bad,"17., Promenadegasse 58",,17,,,-99,,,,,,,,,,,2691125,
SCHWIMMBADOGD.2691126,POINT (16.431322262786146 48.21979010717573),PSO-Sommerbad,"22., Dampfschiffhaufen 49",http://www.psoriasis-hilfe.at/pso-naturbad.html,22,,,-99,,,,,,,,,,,2691126,
SCHWIMMBADOGD.2691127,POINT (16.22327378543681 48.20902569681696),Sommerbad Hadersdorf-Weidlingau,"14., Hauptstraße 41",http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/hadersdorf.html,14,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691127,
SCHWIMMBADOGD.2691128,POINT (16.377533997859846 48.214117209136916),Dianabad,"2., Lilienbrunngasse 7-9",http://www.dianabad.at/,2,,,-99,,,,,,,,,,,2691128,
SCHWIMMBADOGD.2691129,POINT (16.42134229316078 48.240090693720624),Bundesbad Alte Donau,"22., Arbeiterstrandbadstraße 93",http://www.burghauptmannschaft.at/php/detail.php?ukatnr=12188&parent=12170,22,,,-99,,,,,,,,,,,2691129,
SCHWIMMBADOGD.2691130,POINT (16.448543077287106 48.2740668914249),Kombibad Großfeldsiedlung,"21., Oswald-Redlich-Straße 44",http://www.wien.gv.at/freizeit/baeder/uebersicht/kombibaeder/grossfeldsiedlung.html,21,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691130,
SCHWIMMBADOGD.2691131,POINT (16.329289993542076 48.2110221616149),Brausebad Friedrich-Kaiser-Gasse,"16., Friedrich-Kaiser-Gasse 11",http://www.wien.gv.at/freizeit/baeder/uebersicht/saunabaeder/volksbad.html,16,,,-99,,,,,,,,,,,2691131,
SCHWIMMBADOGD.2691132,POINT (16.378968505300936 48.17428063209205),Amalienbad,"10., Reumannplatz 23",http://www.wien.gv.at/freizeit/baeder/uebersicht/hallenbaeder/amalienbad.html,10,2020-10-01,Noch Platz,1,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691132,
SCHWIMMBADOGD.2691133,POINT (16.443014944957067 48.24279140493337),Kombibad Donaustadt,"22., Portnergasse 38",http://www.wien.gv.at/freizeit/baeder/uebersicht/kombibaeder/donaustadt.html,22,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691133,
SCHWIMMBADOGD.2691134,POINT (16.396643890612953 48.198902548177344),Apostelbad,"3., Apostelgasse 18",http://www.wien.gv.at/freizeit/baeder/uebersicht/saunabaeder/apostelbad.html,3,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691134,
SCHWIMMBADOGD.2691135,POINT (16.31148131383655 48.1963359408671),Familienbad Reinlgasse,"14., Familienbad Reinlgasse, Ecke Märzstraße",https://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder/reinlgasse.html,14,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691135,
SCHWIMMBADOGD.2691136,POINT (16.40334798126864 48.248769422578306),Strandbad Angelibad,"21., An der oberen Alten Donau",http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/angelibad.html,21,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691136,
SCHWIMMBADOGD.2691137,POINT (16.31234691253754 48.221602841647716),Kongreßbad,"16., Julius-Meinl-Gasse 7a",http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/kongressbad.html,16,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691137,
SCHWIMMBADOGD.2691042,POINT (16.416815504264903 48.24219395421216),Strandbad Alte Donau,"22., Arbeiterstrandbadstraße 91",http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/altedonau.html,22,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691042,
SCHWIMMBADOGD.2691043,POINT (16.364956883661012 48.23555749710113),Hallenbad Brigittenau,"20., Klosterneuburger Straße 93-97",http://www.wien.gv.at/freizeit/baeder/uebersicht/hallenbaeder/brigittenau.html,20,2020-10-01,Noch Platz,1,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691043,
SCHWIMMBADOGD.2691044,POINT (16.34939085769992 48.18565051421752),Einsiedlerbad,"5., Einsiedlerplatz 18",http://www.wien.gv.at/freizeit/baeder/uebersicht/saunabaeder/einsiedlerbad.html,5,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691044,
SCHWIMMBADOGD.2691045,POINT (16.384734561705514 48.15934952144182),Laaerbergbad,"10., Ludwig-von-Höhnel-Gasse 2",http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/laaerbergbad.html,10,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691045,
SCHWIMMBADOGD.2691046,POINT (16.42739370538889 48.22783904681154),Strandbad Gänsehäufel,"22., Moissigasse 21",http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/gaensehaeufel.html,22,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691046,
SCHWIMMBADOGD.2691047,POINT (16.34736094226696 48.20291532653435),Hermannbad,"7., Hermanngasse 28",http://www.wien.gv.at/freizeit/baeder/uebersicht/saunabaeder/hermannbad.html,7,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691047,
SCHWIMMBADOGD.2691048,POINT (16.295548418090718 48.19744100613338),Penzinger Bad,"14., Hütteldorfer Straße 136",http://www.wien.gv.at/freizeit/baeder/uebersicht/saunabaeder/penzingerbad.html,14,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691048,
SCHWIMMBADOGD.2691049,POINT (16.281118095368885 48.13266912039976),Liesinger Bad,"23., Perchtoldsdorfer Straße 14-16",http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/liesingerbad.html,23,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691049,
SCHWIMMBADOGD.2691050,POINT (16.301039461994698 48.23747498964988),Schafbergbad,"18., Josef-Redl-Gasse 2",http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/schafbergbad.html,18,2020-10-01,Derzeit gesperrt,0,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691050,
SCHWIMMBADOGD.2691051,POINT (16.294540025467736 48.16892337897316),Hietzinger Bad,"13., Atzgersdorfer Straße 14",http://www.wien.gv.at/freizeit/baeder/uebersicht/kombibaeder/hietzing.html,13,2020-10-01,Noch Platz,1,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691051,
SCHWIMMBADOGD.2691052,POINT (16.33500721080245 48.21812366806754),Jörgerbad,"17., Jörgerstraße 42-44",http://www.wien.gv.at/freizeit/baeder/uebersicht/hallenbaeder/joergerbad.html,17,2020-10-01,Noch Platz,1,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691052,
SCHWIMMBADOGD.2691053,POINT (16.401329682341522 48.142880275898186),Therme Wien,"10., Kurbadstraße 14",http://www.thermewien.at,10,,,-99,,,,,,,,,,,2691053,
SCHWIMMBADOGD.2691054,POINT (16.429547720393415 48.16350488943849),Kombibad Simmering,"11., Florian-Hedorfer-Straße 5",http://www.wien.gv.at/freizeit/baeder/uebersicht/kombibaeder/simmering.html,11,2020-10-01,Noch Platz,1,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691054,
SCHWIMMBADOGD.2691055,POINT (16.43148133115305 48.22187044454188),Straßenbahnerbad,"22., Dampfschiffhaufen 189",http://www.ksv-wienerlinien.at/ksv_freizeitanlagen_stra%C3%9Fenbahnerbad,22,,,-99,,,,,,,,,,,2691055,
SCHWIMMBADOGD.2691056,POINT (16.42951179105631 48.223269208369594),Polizeibad,"22., Dampfschiffhaufen 65",http://www.polizeisv-wien.at/sportanlage-polizeibad/,22,,,-99,,,,,,,,,,,2691056,
SCHWIMMBADOGD.2691118,POINT (16.264293432431806 48.20283965081559),Hallenbad Hütteldorf,"14., Linzer Straße 376",http://www.wien.gv.at/freizeit/baeder/uebersicht/hallenbaeder/huetteldorf.html,14,2020-10-01,Wird knapp - 30% freie Plätze,2,2020-10-02,keine Information,0,2020-10-03,keine Information,0,2020-10-04,keine Information,0,01.10.2020 14:35,2691118,
